nama_provinsi,%,tahun,jumlah_putus_sekolah,persen_putus_sekolah
Prov. Nanggroe Aceh Darussalam, 34 ,2010,7236,3.377946
Prov. Sumatera Utara, 19 ,2010,12608,1.868688
Prov. Sumatera Barat, 10 ,2010,2355,1.046671
Prov. Riau, 29 ,2010,5611,2.858919
Prov. Jambi, 34 ,2010,3944,3.420227
Prov. Sumatera Selatan, 15 ,2010,4608,1.451531
Prov. Bengkulu, 18 ,2010,1544,1.808661
Prov. Lampung, 31 ,2010,9767,3.096595
Prov. Kepulauan Bangka Belitung, 34 ,2010,1494,3.446049
Prov. Kepulauan Riau, 39 ,2010,2238,3.868559
Prov. DKI Jakarta, 5 ,2010,1951,0.5089729
Prov. Jawa Barat, 21 ,2010,31282,2.105853
Prov. Jawa Tengah, 5 ,2010,6161,0.4767284
Prov. D I Yogyakarta, 2 ,2010,300,0.2243729
Prov. Jawa Timur, 11 ,2010,13218,1.084416
Prov. Banten, 12 ,2010,4439,1.201265
Prov. Bali, 17 ,2010,2909,1.682826
Prov. Nusa Tenggara Barat, 14 ,2010,2278,1.37324
Prov. Nusa Tenggara Timur, 60 ,2010,13462,5.984893
Prov. Kalimantan Barat, 52 ,2010,10103,5.216902
Prov. Kalimantan Tengah, 24 ,2010,1955,2.354627
Prov. Kalimantan Selatan, 33 ,2010,3513,3.260779
Prov. Kalimantan Timur, 13 ,2010,1908,1.307288
Prov. Sulawesi Utara, 24 ,2010,2713,2.368998
Prov. Sulawesi Tengah, 46 ,2010,4446,4.623256
Prov. Sulawesi Selatan, 11 ,2010,3695,1.073925
Prov. Sulawesi Tenggara, 7 ,2010,780,0.6830781
Prov. Gorontalo, 38 ,2010,1683,3.806228
Prov. Sulawesi Barat, 10 ,2010,499,1.001606
Prov. Maluku, 33 ,2010,2920,3.320144
Prov. Maluku Utara, 21 ,2010,1024,2.147156
Prov. Papua Barat, 16 ,2010,562,1.577411
Prov. Papua, 32 ,2010,3122,3.169865
