nama_provinsi,%,tahun,jumlah_putus_sekolah,persen_putus_sekolah
Prov. Nanggroe Aceh Darussalam,21,2010,11569,2.119237,"4.695135,96.7493993"
Prov. Sumatera Utara,14,2010,26237,1.429467,"2.0108563,98.9784887"
Prov. Sumatera Barat,23,2010,15522,2.263273,"-0.7399397,100.8000051"
Prov. Riau,25,2010,18636,2.522121,"0.2933469,101.7068294"
Prov. Jambi,12,2010,5113,1.217677,"-1.6101229,103.6131203"
Prov. Sumatera Selatan,16,2010,15750,1.635884,"-3.3194374,103.914399"
Prov. Bengkulu,25,2010,5979,2.50858,"-3.792845099999999,102.2607641"
Prov. Lampung,24,2010,24338,2.352966,"-4.5585849,105.4068079"
Prov. Kepulauan Bangka Belitung,26,2010,3881,2.60636,"-2.7410513,106.4405872"
Prov. Kepulauan Riau,11,2010,1730,1.051442,"3.9456514,108.1428669"
Prov. DKI Jakarta,14,2010,11877,1.410743,"-6.1744651,106.822745"
Prov. Jawa Barat,14,2010,64187,1.404251,"-7.090910999999999,107.668887"
Prov. Jawa Tengah,10,2010,35280,1.035693,"-7.150975, 110.1402594"
Prov. D I Yogyakarta,10,2010,3118,1.036263,"-7.797591499999999, 110.3707141"
Prov. Jawa Timur,11,2010,34752,1.057609,"-7.5360639, 112.2384017"
Prov. Banten,11,2010,13892,1.089569,"-6.4058172,106.0640179"
Prov. Bali,19,2010,8058,1.917211,"-8.4095178, 115.188916"
Prov. Nusa Tenggara Barat,19,2010,10726,1.886985,"-8.6529334,117.3616476"
Prov. Nusa Tenggara Timur,33,2010,26605,3.339522,"-8.657381899999999,121.0793705"
Prov. Kalimantan Barat,25,2010,16637,2.520319,"-0.2787808,111.4752851"
Prov. Kalimantan Tengah,18,2010,5891,1.824698,"-1.6814878,113.3823545"
Prov. Kalimantan Selatan,22,2010,9120,2.216724,"-3.0926415,115.2837585"
Prov. Kalimantan Timur,31,2010,13756,3.148049,"0.5386586,116.419389"
Prov. Sulawesi Utara,15,2010,4164,1.491858,"0.6246932,123.9750018"
Prov. Sulawesi Tengah,21,2010,7633,2.075973,"-1.4300254,121.4456179"
Prov. Sulawesi Selatan,14,2010,14773,1.424802,"-3.6687994,119.9740534"
Prov. Sulawesi Tenggara,14,2010,4968,1.423561,"-4.144909999999999,122.174605"
Prov. Gorontalo,20,2010,3309,2.041622,"0.5435442, 123.0567693"
Prov. Sulawesi Barat,22,2010,3935,2.182801,"-2.8441371,119.2320784"
Prov. Maluku,10,2010,2659,1.014359,"-3.2384616,130.1452734"
Prov. Maluku Utara,20,2010,3418,2.011831,"1.5709993,127.8087693"
Prov. Papua Barat,28,2010,3420,2.776019,"-1.3361154,133.1747162"
Prov. Papua,25,2010,8100,2.486447,"-4.269928,138.0803529"
