nama_provinsi,%,tahun,jumlah_putus_sekolah,persen_putus_sekolah,
Prov. Nanggroe Aceh Darussalam,34,2010,7236,3.377946,"4.695135,96.7493993"
Prov. Sumatera Utara,19,2010,12608,1.868688,"2.0108563,98.9784887"
Prov. Sumatera Barat,10,2010,2355,1.046671,"-0.7399397,100.8000051"
Prov. Riau,29,2010,5611,2.858919,"0.2933469,101.7068294"
Prov. Jambi,34,2010,3944,3.420227,"-1.6101229,103.6131203"
Prov. Sumatera Selatan,15,2010,4608,1.451531,"-3.3194374,103.914399"
Prov. Bengkulu,18,2010,1544,1.808661,"-3.792845099999999,102.2607641"
Prov. Lampung,31,2010,9767,3.096595,"-4.5585849,105.4068079"
Prov. Kepulauan Bangka Belitung,34,2010,1494,3.446049,"-2.7410513,106.4405872"
Prov. Kepulauan Riau,39,2010,2238,3.868559,"3.9456514,108.1428669"
Prov. DKI Jakarta,5,2010,1951,0.5089729,"-6.1744651,106.822745"
Prov. Jawa Barat,21,2010,31282,2.105853,"-7.090910999999999,107.668887"
Prov. Jawa Tengah,5,2010,6161,0.4767284,"-7.150975, 110.1402594"
Prov. D I Yogyakarta,2,2010,300,0.2243729,"-7.797591499999999, 110.3707141"
Prov. Jawa Timur,11,2010,13218,1.084416,"-7.5360639, 112.2384017"
Prov. Banten,12,2010,4439,1.201265,"-6.4058172,106.0640179"
Prov. Bali,17,2010,2909,1.682826,"-8.4095178, 115.188916"
Prov. Nusa Tenggara Barat,14,2010,2278,1.37324,"-8.6529334,117.3616476"
Prov. Nusa Tenggara Timur,60,2010,13462,5.984893,"-8.657381899999999,121.0793705"
Prov. Kalimantan Barat,52,2010,10103,5.216902,"-0.2787808,111.4752851"
Prov. Kalimantan Tengah,24,2010,1955,2.354627,"-1.6814878,113.3823545"
Prov. Kalimantan Selatan,33,2010,3513,3.260779,"-3.0926415,115.2837585"
Prov. Kalimantan Timur,13,2010,1908,1.307288,"0.5386586,116.419389"
Prov. Sulawesi Utara,24,2010,2713,2.368998,"0.6246932,123.9750018"
Prov. Sulawesi Tengah,46,2010,4446,4.623256,"-1.4300254,121.4456179"
Prov. Sulawesi Selatan,11,2010,3695,1.073925,"-3.6687994,119.9740534"
Prov. Sulawesi Tenggara,7,2010,780,0.6830781,"-4.144909999999999,122.174605"
Prov. Gorontalo,38,2010,1683,3.806228,"0.5435442, 123.0567693"
Prov. Sulawesi Barat,10,2010,499,1.001606,"-2.8441371,119.2320784"
Prov. Maluku,33,2010,2920,3.320144,"-3.2384616,130.1452734"
Prov. Maluku Utara,21,2010,1024,2.147156,"1.5709993,127.8087693"
Prov. Papua Barat,16,2010,562,1.577411,"-1.3361154,133.1747162"
Prov. Papua,32,2010,3122,3.169865,"-4.269928,138.0803529"
